index;2sents_before_after;1sent_before_after;ctx_before2;ctx_before2_speaker;ctx_before1;ctx_before1_speaker;question;question_speaker;ctx_after1;ctx_after1_speaker;ctx_after2;ctx_after2_speaker;label
960;What does that tell people? So I think what its telling people is the legitimacy of Vine and doing posts that NowThis News is doing, is its just -- were going to be getting people like him and, you know, politicians and, you know, maybe even one day the president to do a short 6-second Vine video just -- Does anybody learn anything from that, Cody? Does anybody learn anything from that? Well, like I said, I think this is geared to more of the younger audience because the audience on Vine is very young.;So I think what its telling people is the legitimacy of Vine and doing posts that NowThis News is doing, is its just -- were going to be getting people like him and, you know, politicians and, you know, maybe even one day the president to do a short 6-second Vine video just -- Does anybody learn anything from that, Cody? Does anybody learn anything from that?;What does that tell people?;FRANK SESNO;So I think what its telling people is the legitimacy of Vine and doing posts that NowThis News is doing, is its just -- were going to be getting people like him and, you know, politicians and, you know, maybe even one day the president to do a short 6-second Vine video just --;CODY JOHNS;Does anybody learn anything from that, Cody?;FRANK SESNO;Does anybody learn anything from that?;FRANK SESNO;Well, like I said, I think this is geared to more of the younger audience because the audience on Vine is very young.;CODY JOHNS;Deliberative
961;Thats right. Murdoch -- there was a great debate in America when Murdoch bought -The Wall Street Journal.-  Was he going to tart it up? Was he going to ruin it? Was he going to make it politically biased? I havent seen that happen.;Murdoch -- there was a great debate in America when Murdoch bought -The Wall Street Journal.-  Was he going to tart it up? Was he going to ruin it? Was he going to make it politically biased?;Thats right.;EVANS;Murdoch -- there was a great debate in America when Murdoch bought -The Wall Street Journal.-  Was he going to tart it up?;HOWARD KURTZ;Was he going to ruin it?;HOWARD KURTZ;Was he going to make it politically biased?;HOWARD KURTZ;I havent seen that happen.;HOWARD KURTZ;Rhetorical
962;And you know what? In Vegas, they do. Right, Paris? Mm-hmm. Vegas rocks.;In Vegas, they do. Right, Paris? Mm-hmm.;And you know what?;PIERS MORGAN;In Vegas, they do.;PIERS MORGAN;Right, Paris?;PIERS MORGAN;Mm-hmm.;PARIS HILTON;Vegas rocks.;PARIS HILTON;OTHERS
963;And your work has shown that were as polarized, or more so, than weve been in a very long time, perhaps since the Civil War, right? There are issues of polarization even in fact checking. Who do you fact check? Who decides? What metrics do you use and what sources do you use to decide whether someones pants are on fire or not?;There are issues of polarization even in fact checking. Who do you fact check? Who decides?;And your work has shown that were as polarized, or more so, than weve been in a very long time, perhaps since the Civil War, right?;FRANK SESNO;There are issues of polarization even in fact checking.;FRANK SESNO;Who do you fact check?;FRANK SESNO;Who decides?;FRANK SESNO;What metrics do you use and what sources do you use to decide whether someones pants are on fire or not?;FRANK SESNO;Rhetorical
964;And I think for us, if we can show them that tornado and they can believe it and they go and they take their family and their kids to the basement and theyre safe, thats exactly what were looking for. Heres the thing, though, you were right on the tail of that tornado in Joplin, you were caught up in the El Reno tornado. Have you taken too many risks in the past? Well, I think theres -- listen, there is an inherent danger in being out there and observing severe weather. There just is a risk no matter how safe you are.;Heres the thing, though, you were right on the tail of that tornado in Joplin, you were caught up in the El Reno tornado. Have you taken too many risks in the past? Well, I think theres -- listen, there is an inherent danger in being out there and observing severe weather.;And I think for us, if we can show them that tornado and they can believe it and they go and they take their family and their kids to the basement and theyre safe, thats exactly what were looking for.;MIKE BETTES;Heres the thing, though, you were right on the tail of that tornado in Joplin, you were caught up in the El Reno tornado.;BRIAN STELTER;Have you taken too many risks in the past?;BRIAN STELTER;Well, I think theres -- listen, there is an inherent danger in being out there and observing severe weather.;MIKE BETTES;There just is a risk no matter how safe you are.;MIKE BETTES;Deliberative
965;And thats an important story as well. Michelle Obamas been the stimulus package for the fashion industry, definitely. And Lola, do you think its fair to say that reporters like Michelle Obama, that perhaps female reporters identify with her and then thats why we get a lot of fairly soft coverage? I think people like Michelle Obama. I think that female reporters identify with her, but I dont think that necessarily shapes the sort of coverage we have of Michelle Obama.;Michelle Obamas been the stimulus package for the fashion industry, definitely. And Lola, do you think its fair to say that reporters like Michelle Obama, that perhaps female reporters identify with her and then thats why we get a lot of fairly soft coverage? I think people like Michelle Obama.;And thats an important story as well.;ROBIN GIVHAN;Michelle Obamas been the stimulus package for the fashion industry, definitely.;LOLA OGUNNAIKE;And Lola, do you think its fair to say that reporters like Michelle Obama, that perhaps female reporters identify with her and then thats why we get a lot of fairly soft coverage?;KURTZ, HOST (voice-over);I think people like Michelle Obama.;LOLA OGUNNAIKE;I think that female reporters identify with her, but I dont think that necessarily shapes the sort of coverage we have of Michelle Obama.;LOLA OGUNNAIKE;Deliberative
966;People are giving him the benefit of the doubt. They want to make things work. Are you surprised at all that liberal columnists like Paul Krugman, who was on the cover of -Newsweek- the other week, are criticizing Obama from the left? No. Ive criticized him.;They want to make things work. Are you surprised at all that liberal columnists like Paul Krugman, who was on the cover of -Newsweek- the other week, are criticizing Obama from the left? No.;People are giving him the benefit of the doubt.;JOE TRIPPI;They want to make things work.;JOE TRIPPI;Are you surprised at all that liberal columnists like Paul Krugman, who was on the cover of -Newsweek- the other week, are criticizing Obama from the left?;HOWARD KURTZ;No.;JOE TRIPPI;Ive criticized him.;JOE TRIPPI;Deliberative
967;The Times had a team of reporters asking questions, and they talked to dozens and dozens of people in New York politics. And they talked to everybody. But were we going to go on TV with it? No. Joanna Molloy, Im looking at the tabloid covers.;And they talked to everybody. But were we going to go on TV with it? No.;The Times had a team of reporters asking questions, and they talked to dozens and dozens of people in New York politics.;KRAMER;And they talked to everybody.;KRAMER;But were we going to go on TV with it?;KRAMER;No.;KRAMER;Joanna Molloy, Im looking at the tabloid covers.;KURTZ, HOST (voice-over);OTHERS
968;Who do you fact check? Who decides? What metrics do you use and what sources do you use to decide whether someones pants are on fire or not? I think the one thing that first needs to happen is that a lot of the garden variety kinds of misinformation probably should just be ignored. I think the real challenge is that when that kind of misinformation gets news coverage and only gives incentives to politicians to continue to do this kind of stuff -- its the really big issues, the kind of chronic kinds of misinformation about the presidents birthplace, about whats in the Affordable Care Act and whats not in the Affordable Care Act, these are the kinds of issues that really need the media to birddog them and fact-check them on a regular basis.;Who decides? What metrics do you use and what sources do you use to decide whether someones pants are on fire or not? I think the one thing that first needs to happen is that a lot of the garden variety kinds of misinformation probably should just be ignored.;Who do you fact check?;FRANK SESNO;Who decides?;FRANK SESNO;What metrics do you use and what sources do you use to decide whether someones pants are on fire or not?;FRANK SESNO;I think the one thing that first needs to happen is that a lot of the garden variety kinds of misinformation probably should just be ignored.;PROF. JOHN SIDES;I think the real challenge is that when that kind of misinformation gets news coverage and only gives incentives to politicians to continue to do this kind of stuff -- its the really big issues, the kind of chronic kinds of misinformation about the presidents birthplace, about whats in the Affordable Care Act and whats not in the Affordable Care Act, these are the kinds of issues that really need the media to birddog them and fact-check them on a regular basis.;PROF. JOHN SIDES;Deliberative
969;News is what people are interested in.  The question that news organizations have to ask themselves, and do ask themselves every day, is what kind of news do we want to validate?  Where do we want to be in this vast stream here of media?  What do we want to cover?  I think thats a question that every news organization is struggling with. ;The question that news organizations have to ask themselves, and do ask themselves every day, is what kind of news do we want to validate?  Where do we want to be in this vast stream here of media?  What do we want to cover? ;News is what people are interested in. ;HOWARD KURTZ,;The question that news organizations have to ask themselves, and do ask themselves every day, is what kind of news do we want to validate? ;HOWARD KURTZ,;Where do we want to be in this vast stream here of media? ;HOWARD KURTZ,;What do we want to cover? ;HOWARD KURTZ,;I think thats a question that every news organization is struggling with. ;HOWARD KURTZ,;Rhetorical
970;I dont think theres anything wrong with people enjoying the game, the anticipation of the game.  We know that theres a kind of silly excess, especially all the pregame stuff.  Do you need a six-hour pregame?  You might as well just start a week before and just keep it going and do a week-long post-game.  Just turn the camera on and never turn it off. ;We know that theres a kind of silly excess, especially all the pregame stuff.  Do you need a six-hour pregame?  You might as well just start a week before and just keep it going and do a week-long post-game. ;I dont think theres anything wrong with people enjoying the game, the anticipation of the game. ;BOB COSTAS,;We know that theres a kind of silly excess, especially all the pregame stuff. ;BOB COSTAS,;Do you need a six-hour pregame? ;BOB COSTAS,;You might as well just start a week before and just keep it going and do a week-long post-game. ;BOB COSTAS,;Just turn the camera on and never turn it off. ;HOWARD KURTZ,;Deliberative
971;How about Cheney? Typical of that question, that question from a British correspondent would not have been, how about the troop deaths? It would have been, how about the deaths in Iraq? How many people have died in Iraq? Its given much more coverage in Britain.;Typical of that question, that question from a British correspondent would not have been, how about the troop deaths? It would have been, how about the deaths in Iraq? How many people have died in Iraq?;How about Cheney?;KURTZ, HOST (voice over);Typical of that question, that question from a British correspondent would not have been, how about the troop deaths?;JUSTIN WEBB;It would have been, how about the deaths in Iraq?;JUSTIN WEBB;How many people have died in Iraq?;JUSTIN WEBB;Its given much more coverage in Britain.;JUSTIN WEBB;Rhetorical
972;Absolutely. Everybody wants to know the answer to this question. Do you really pick all the cartoons? I do. I work with Bob Mankoff, the cartoon editor.;Everybody wants to know the answer to this question. Do you really pick all the cartoons? I do.;Absolutely.;DAVID REMNICK;Everybody wants to know the answer to this question.;HOWARD KURTZ;Do you really pick all the cartoons?;HOWARD KURTZ;I do.;DAVID REMNICK;I work with Bob Mankoff, the cartoon editor.;DAVID REMNICK;Deliberative
973;Thats a great point. Paul, I want to turn to you. During this time, during the march on Washington, you said you were packing to go work for the -Dayton Daily News-, right? Yes. So, you made the transition from black newspapers to mainstream newspapers right as the civil rights movement was heating up.;Paul, I want to turn to you. During this time, during the march on Washington, you said you were packing to go work for the -Dayton Daily News-, right? Yes.;Thats a great point.;ERIC DEGGANS;Paul, I want to turn to you.;ERIC DEGGANS;During this time, during the march on Washington, you said you were packing to go work for the -Dayton Daily News-, right?;ERIC DEGGANS;Yes.;PAUL DELANEY;So, you made the transition from black newspapers to mainstream newspapers right as the civil rights movement was heating up.;ERIC DEGGANS;Deliberative
974;This was pretty nutty stuff to a lot of people. And Cindy Sheehans popularity took a nosedive as a result. And Chris Cillizza, because of what Roger characterizes as -nutty stuff,- I mean, you know, her somewhat radical views on some of these issue, was it a question of just the left turning on her, or did the media become disenchanted with her because now she was a very different kind of public personality? Well, I think she fit, as Roger said, I think she fit a specific role. And dont forget, it was during the summer of that year when it sort of slowed politically.;And Cindy Sheehans popularity took a nosedive as a result. And Chris Cillizza, because of what Roger characterizes as -nutty stuff,- I mean, you know, her somewhat radical views on some of these issue, was it a question of just the left turning on her, or did the media become disenchanted with her because now she was a very different kind of public personality? Well, I think she fit, as Roger said, I think she fit a specific role.;This was pretty nutty stuff to a lot of people.;ROGER SIMON;And Cindy Sheehans popularity took a nosedive as a result.;ROGER SIMON;And Chris Cillizza, because of what Roger characterizes as -nutty stuff,- I mean, you know, her somewhat radical views on some of these issue, was it a question of just the left turning on her, or did the media become disenchanted with her because now she was a very different kind of public personality?;KURTZ, HOST (voice over);Well, I think she fit, as Roger said, I think she fit a specific role.;CHRIS CILLIZZA;And dont forget, it was during the summer of that year when it sort of slowed politically.;CHRIS CILLIZZA;Deliberative
975;Thats an outstanding development.  Guess who just announced hes running now?  Who?  Jigger Mantracy, youre in a real race now, darling.  You cant just sit in your little man cave any more waiting to be re-elected. ;Guess who just announced hes running now?  Who?  Jigger Mantracy, youre in a real race now, darling. ;Thats an outstanding development. ;UNIDENTIFIED MALE ;Guess who just announced hes running now? ;UNIDENTIFIED CALLER ;Who? ;UNIDENTIFIED MALE ;Jigger Mantracy, youre in a real race now, darling. ;UNIDENTIFIED CALLER ;You cant just sit in your little man cave any more waiting to be re-elected. ;UNIDENTIFIED CALLER ;ISQ
976;No. Im going to place a moratorium on dog puns. But I think that this is actually a case -- its related to what we were talking about before, which has to do with, what is the tone of -- what is the entirety of the coverage? I mean, I think its one thing if the White House press corps did nothing but cover the puppy. That would be bad, but there was a fair amount of attention paid to other things this week.;Im going to place a moratorium on dog puns. But I think that this is actually a case -- its related to what we were talking about before, which has to do with, what is the tone of -- what is the entirety of the coverage? I mean, I think its one thing if the White House press corps did nothing but cover the puppy.;No.;COX;Im going to place a moratorium on dog puns.;COX;But I think that this is actually a case -- its related to what we were talking about before, which has to do with, what is the tone of -- what is the entirety of the coverage?;COX;I mean, I think its one thing if the White House press corps did nothing but cover the puppy.;COX;That would be bad, but there was a fair amount of attention paid to other things this week.;COX;Rhetorical
977;And I think thats a legitimate concern, but you have to look at what the news coverage was on it if you want to evaluate that. I agree we should make that distinction. Ana Marie Cox, did Fox go a little bit over the line? But were -- at the same time, let me ask you, did the rest of the mainstream media, were they too dismissive of this of some kind of Fox production with a little grassroots element? I dont think you could talk about them without talking about Fox, because Fox did play such a huge role in promoting them.;I agree we should make that distinction. Ana Marie Cox, did Fox go a little bit over the line? But were -- at the same time, let me ask you, did the rest of the mainstream media, were they too dismissive of this of some kind of Fox production with a little grassroots element?;And I think thats a legitimate concern, but you have to look at what the news coverage was on it if you want to evaluate that.;CARPENTER;I agree we should make that distinction.;HOWARD KURTZ;Ana Marie Cox, did Fox go a little bit over the line?;HOWARD KURTZ;But were -- at the same time, let me ask you, did the rest of the mainstream media, were they too dismissive of this of some kind of Fox production with a little grassroots element?;HOWARD KURTZ;I dont think you could talk about them without talking about Fox, because Fox did play such a huge role in promoting them.;COX;Deliberative
978;Absolutely not. You know, if you accept a deal like that, you begin your interview by saying why is it that we can only talk about Iraq? Mr. Attorney General, Ive been constrained by your people to only ask you about Iraq, why cant we ask you about anything else? It would be only under conditions like that that any reporter should really accept an interview. Have to disclose that they are prohibiting you from asking about all of the questions that swirl around him as attorney general.;You know, if you accept a deal like that, you begin your interview by saying why is it that we can only talk about Iraq? Mr. Attorney General, Ive been constrained by your people to only ask you about Iraq, why cant we ask you about anything else? It would be only under conditions like that that any reporter should really accept an interview.;Absolutely not.;LINDA DOUGLASS;You know, if you accept a deal like that, you begin your interview by saying why is it that we can only talk about Iraq?;LINDA DOUGLASS;Mr. Attorney General, Ive been constrained by your people to only ask you about Iraq, why cant we ask you about anything else?;LINDA DOUGLASS;It would be only under conditions like that that any reporter should really accept an interview.;LINDA DOUGLASS;Have to disclose that they are prohibiting you from asking about all of the questions that swirl around him as attorney general.;LINDA DOUGLASS;Rhetorical
979;If she had 216 votes, this bill will be long gone and, remember, they tried to do this in June and July last year. If they had the votes then, it would be law. They tried to pass it in September, October, November, December, January, February, guess what? They dont have the votes. We dont have them as of this morning, but we have been working this thing all weekend and well be working it going into the week and Im also very confident that we will get this done.;If they had the votes then, it would be law. They tried to pass it in September, October, November, December, January, February, guess what? They dont have the votes.;If she had 216 votes, this bill will be long gone and, remember, they tried to do this in June and July last year.;REP. JOHN BOEHNER;If they had the votes then, it would be law.;REP. JOHN BOEHNER;They tried to pass it in September, October, November, December, January, February, guess what?;REP. JOHN BOEHNER;They dont have the votes.;REP. JOHN BOEHNER;We dont have them as of this morning, but we have been working this thing all weekend and well be working it going into the week and Im also very confident that we will get this done.;REP. JAMES CLYBURN;Rhetorical
980;I mean, what have we become? We are fiddling while Rome burns, covering these stories ad nauseum. All right, David Zurawik, what was going through Meredith Vieiras mind, and why does this warrant time on -The Today Show,- which is a very fine news program? N  Oh, that is a nice high-road sounding argument for Sunday morning TV. Listen, the audience, American people care about these characters.;We are fiddling while Rome burns, covering these stories ad nauseum. All right, David Zurawik, what was going through Meredith Vieiras mind, and why does this warrant time on -The Today Show,- which is a very fine news program? N  Oh, that is a nice high-road sounding argument for Sunday morning TV.;I mean, what have we become?;LISA BLOOM;We are fiddling while Rome burns, covering these stories ad nauseum.;LISA BLOOM;All right, David Zurawik, what was going through Meredith Vieiras mind, and why does this warrant time on -The Today Show,- which is a very fine news program?;HOWARD KURTZ;N  Oh, that is a nice high-road sounding argument for Sunday morning TV.;DAVID ZURAWIK, BALTIMORE SUN;Listen, the audience, American people care about these characters.;HOWARD KURTZ;Deliberative
981;But I think that there are things to look at about this pick and what it says about the president. Do we want to have nine justices from Harvard and Yale? You know, how about having somebody from a California law school? How about having somebody out of the loop some way? I personally would like to see something different.;Do we want to have nine justices from Harvard and Yale? You know, how about having somebody from a California law school? How about having somebody out of the loop some way?;But I think that there are things to look at about this pick and what it says about the president.;DEBRA SAUNDERS;Do we want to have nine justices from Harvard and Yale?;DEBRA SAUNDERS;You know, how about having somebody from a California law school?;DEBRA SAUNDERS;How about having somebody out of the loop some way?;DEBRA SAUNDERS;I personally would like to see something different.;DEBRA SAUNDERS;Rhetorical
982;I think there was the sense that Jack Murtha was in the Iraq critic box and he wasnt in the -Im about to be a Democratic leader- box. I think both roles should have been discussed before the election. Mary Ann Akers, didnt the press drop the ball here? I mean, Clarence seems to think that because Murtha wasnt a candidate or a prominent candidate, or it wasnt even clear that there would be a House majority leaders job for him because we didnt know the Democrats were going to take over the House, that this other stuff was sort of backburner? But how do you -- how do you cover him as a prominent anti-war voice and not bring up these other issues?;I think both roles should have been discussed before the election. Mary Ann Akers, didnt the press drop the ball here? I mean, Clarence seems to think that because Murtha wasnt a candidate or a prominent candidate, or it wasnt even clear that there would be a House majority leaders job for him because we didnt know the Democrats were going to take over the House, that this other stuff was sort of backburner?;I think there was the sense that Jack Murtha was in the Iraq critic box and he wasnt in the -Im about to be a Democratic leader- box.;JOHN FUND;I think both roles should have been discussed before the election.;JOHN FUND;Mary Ann Akers, didnt the press drop the ball here?;KURTZ, HOST (voice over);I mean, Clarence seems to think that because Murtha wasnt a candidate or a prominent candidate, or it wasnt even clear that there would be a House majority leaders job for him because we didnt know the Democrats were going to take over the House, that this other stuff was sort of backburner?;KURTZ, HOST (voice over);But how do you -- how do you cover him as a prominent anti-war voice and not bring up these other issues?;KURTZ, HOST (voice over);Rhetorical
983;Right? I mean, why dont we cover President Obamas presser, right? Why dont we talk about that? Well, kind of not that interesting. I mean, whats interesting here is, oh, my gosh, heres this guy with 50 people who follow him, and hes going to burn a Koran.;I mean, why dont we cover President Obamas presser, right? Why dont we talk about that? Well, kind of not that interesting.;Right?;LAUREN ASHBURN;I mean, why dont we cover President Obamas presser, right?;LAUREN ASHBURN;Why dont we talk about that?;LAUREN ASHBURN;Well, kind of not that interesting.;LAUREN ASHBURN;I mean, whats interesting here is, oh, my gosh, heres this guy with 50 people who follow him, and hes going to burn a Koran.;LAUREN ASHBURN;OTHERS
984;Well, probably not on satellite radio. I mean, its one of the things. We have a problem, those of us who go on the air every day, which is, where is the line? Now, I am not saying I would ever consider on my show doing a bit like they did, but there are people out there right now who want to discipline Rush Limbaugh because he has a parody song about Barack Obama that is called -- and this is his song -- its called -Barack, the Magic Negro-. And the problem is there are no clear lines as to what is tasteless in what medium.;I mean, its one of the things. We have a problem, those of us who go on the air every day, which is, where is the line? Now, I am not saying I would ever consider on my show doing a bit like they did, but there are people out there right now who want to discipline Rush Limbaugh because he has a parody song about Barack Obama that is called -- and this is his song -- its called -Barack, the Magic Negro-.;Well, probably not on satellite radio.;MICHAEL MEDVED;I mean, its one of the things.;MICHAEL MEDVED;We have a problem, those of us who go on the air every day, which is, where is the line?;MICHAEL MEDVED;Now, I am not saying I would ever consider on my show doing a bit like they did, but there are people out there right now who want to discipline Rush Limbaugh because he has a parody song about Barack Obama that is called -- and this is his song -- its called -Barack, the Magic Negro-.;MICHAEL MEDVED;And the problem is there are no clear lines as to what is tasteless in what medium.;MICHAEL MEDVED;OTHERS
985;Joining us now in New York, Chrystia Freeland, U.S. managing editor of the -Financial Times.-  In Philadelphia, Jim Geraghty, contributing editor at -National Review.-  And here in Washington, Bill Press, host of -The Bill Press Show- on Sirius Satellite Radio. Chrystia Freeland, unemployment, as I mentioned, has been rising all year, broke 10 percent weeks ago. Why are we suddenly seeing this spate of reports saying that President Obama is blowing it on the economy? Well, Howard, I think that your analysis is right and I think that Gallup poll was a tipping point. There was a number of factors that were building up -- the very, very long time spent deciding about Afghanistan, the very, very long health care debate and its big cloud of the economy -- and I think when that poll came out, that was a moment for people to say, you know what?;Chrystia Freeland, unemployment, as I mentioned, has been rising all year, broke 10 percent weeks ago. Why are we suddenly seeing this spate of reports saying that President Obama is blowing it on the economy? Well, Howard, I think that your analysis is right and I think that Gallup poll was a tipping point.;Joining us now in New York, Chrystia Freeland, U.S. managing editor of the -Financial Times.-  In Philadelphia, Jim Geraghty, contributing editor at -National Review.-  And here in Washington, Bill Press, host of -The Bill Press Show- on Sirius Satellite Radio.;HOWARD KURTZ;Chrystia Freeland, unemployment, as I mentioned, has been rising all year, broke 10 percent weeks ago.;HOWARD KURTZ;Why are we suddenly seeing this spate of reports saying that President Obama is blowing it on the economy?;HOWARD KURTZ;Well, Howard, I think that your analysis is right and I think that Gallup poll was a tipping point.;FREELAND;There was a number of factors that were building up -- the very, very long time spent deciding about Afghanistan, the very, very long health care debate and its big cloud of the economy -- and I think when that poll came out, that was a moment for people to say, you know what?;FREELAND;Deliberative
986;When Mitt Romney lost, the next day, the next hour, it seemed, a lot of conservative pundits came out and said Romney was a terrible candidate.  Now, obviously, gone the other way, they would have said you were a genius.  Did it bother you to get from your own tribe?  I think that in a campaign, you know, the proper way to deal with criticism is to try to listen to it, because every day in campaigns you make a lot of mistakes.  And if you look at Mitt Romneys approach, after every one of our debates, all he wanted to hear about was what he did wrong and how he could improve. ;Now, obviously, gone the other way, they would have said you were a genius.  Did it bother you to get from your own tribe?  I think that in a campaign, you know, the proper way to deal with criticism is to try to listen to it, because every day in campaigns you make a lot of mistakes. ;When Mitt Romney lost, the next day, the next hour, it seemed, a lot of conservative pundits came out and said Romney was a terrible candidate. ;HOWARD KURTZ,;Now, obviously, gone the other way, they would have said you were a genius. ;HOWARD KURTZ,;Did it bother you to get from your own tribe? ;HOWARD KURTZ,;I think that in a campaign, you know, the proper way to deal with criticism is to try to listen to it, because every day in campaigns you make a lot of mistakes. ;STEVENS,;And if you look at Mitt Romneys approach, after every one of our debates, all he wanted to hear about was what he did wrong and how he could improve. ;STEVENS,;Deliberative
987;Joining us now to talk about the coverage of President Obamas health plan and whether hes getting a bit overexposed on television, in New York, Mark Halperin, editor-at-large and senior political analyst for -TIME- magazine, and author of the blog -The Page.-  S.E. Cupp, blogger and the co-author of -Why Youre Wrong About the Right.- And here in Washington, Ana Marie Cox, national correspondent for Air America Radio and a columnist for -Playboy- magazine. Mark Halperin, are the media playing up the loudest and the angriest of these protesters to the point where it distorts whats whats going on at most of these town hall meetings? Yes, it distorts it and its also bad for America. Im embarrassed about whats going on as an American.;Cupp, blogger and the co-author of -Why Youre Wrong About the Right.- And here in Washington, Ana Marie Cox, national correspondent for Air America Radio and a columnist for -Playboy- magazine. Mark Halperin, are the media playing up the loudest and the angriest of these protesters to the point where it distorts whats whats going on at most of these town hall meetings? Yes, it distorts it and its also bad for America.;Joining us now to talk about the coverage of President Obamas health plan and whether hes getting a bit overexposed on television, in New York, Mark Halperin, editor-at-large and senior political analyst for -TIME- magazine, and author of the blog -The Page.-  S.E.;HOWARD KURTZ;Cupp, blogger and the co-author of -Why Youre Wrong About the Right.- And here in Washington, Ana Marie Cox, national correspondent for Air America Radio and a columnist for -Playboy- magazine.;HOWARD KURTZ;Mark Halperin, are the media playing up the loudest and the angriest of these protesters to the point where it distorts whats whats going on at most of these town hall meetings?;HOWARD KURTZ;Yes, it distorts it and its also bad for America.;HALPERIN;Im embarrassed about whats going on as an American.;HALPERIN;Deliberative
988;I dont care why the protesters are showing up, but this is a horrible breakdown of our political culture and our media culture to allow people who are going in with the intent to disrupt to become the story. The biggest issue in the health care debate, things like, should there be a public plan, completely ignored by all media and crowded out the discussion by stunts and gimmicks, and the White House has exacerbated it by attacking back on the same style. Ana Marie Cox, Mark Halperin says this is a breakdown in the media culture, but we couldnt not cover these people, and they do have a right to be heard, dont they? Right, they do. And I actually do not think its a breakdown of democracy.;The biggest issue in the health care debate, things like, should there be a public plan, completely ignored by all media and crowded out the discussion by stunts and gimmicks, and the White House has exacerbated it by attacking back on the same style. Ana Marie Cox, Mark Halperin says this is a breakdown in the media culture, but we couldnt not cover these people, and they do have a right to be heard, dont they? Right, they do.;I dont care why the protesters are showing up, but this is a horrible breakdown of our political culture and our media culture to allow people who are going in with the intent to disrupt to become the story.;HALPERIN;The biggest issue in the health care debate, things like, should there be a public plan, completely ignored by all media and crowded out the discussion by stunts and gimmicks, and the White House has exacerbated it by attacking back on the same style.;HALPERIN;Ana Marie Cox, Mark Halperin says this is a breakdown in the media culture, but we couldnt not cover these people, and they do have a right to be heard, dont they?;HOWARD KURTZ;Right, they do.;COX;And I actually do not think its a breakdown of democracy.;COX;Rhetorical
989;That is an interesting point. Mary Katharine Ham, where Rosie ODonnell lost me -- and Ive talked about it on the program -- is when she started talking about 9/11 conspiracy theories, tower seven at the World Trade Center complex couldnt have come down without explosives. Did that kind of loony stuff made her radioactive for ABC? I think it should have. I think unfortunately it didnt, and she left of her own accord after Elisabeth finally pushed back.;Mary Katharine Ham, where Rosie ODonnell lost me -- and Ive talked about it on the program -- is when she started talking about 9/11 conspiracy theories, tower seven at the World Trade Center complex couldnt have come down without explosives. Did that kind of loony stuff made her radioactive for ABC? I think it should have.;That is an interesting point.;KURTZ, HOST (voice over);Mary Katharine Ham, where Rosie ODonnell lost me -- and Ive talked about it on the program -- is when she started talking about 9/11 conspiracy theories, tower seven at the World Trade Center complex couldnt have come down without explosives.;KURTZ, HOST (voice over);Did that kind of loony stuff made her radioactive for ABC?;KURTZ, HOST (voice over);I think it should have.;MARY KATHARINE HAM;I think unfortunately it didnt, and she left of her own accord after Elisabeth finally pushed back.;MARY KATHARINE HAM;Deliberative
990;Now, media coverage from that time, and especially TV coverage of the march on Washington, has been credited for changing mainstream America, white Americas view of the civil rights movement and the fight against segregation. Is this your experience? Do you think thats true? I do believe thats true, not because of correspondents who were covering it but because of the nature of the times, the development of television, the pervasive use of television. Television was just coming into most homes in the late 50s and 60s, been around before then.;Is this your experience? Do you think thats true? I do believe thats true, not because of correspondents who were covering it but because of the nature of the times, the development of television, the pervasive use of television.;Now, media coverage from that time, and especially TV coverage of the march on Washington, has been credited for changing mainstream America, white Americas view of the civil rights movement and the fight against segregation.;ERIC DEGGANS;Is this your experience?;ERIC DEGGANS;Do you think thats true?;ERIC DEGGANS;I do believe thats true, not because of correspondents who were covering it but because of the nature of the times, the development of television, the pervasive use of television.;DAN RATHER;Television was just coming into most homes in the late 50s and 60s, been around before then.;DAN RATHER;Deliberative
991;We implied that it was confirmed, we aired in that sense. All right. Ed Henry, should networks such as CNN be reporting what politico.com says or any Web site or news organization says when theres an unnamed source and you dont have any independent confirmation? Its a very tough balancing act. I think we need to be transparent with our viewers and say, look, this is out there, its being reported, its being picked up by a lot of people.;All right. Ed Henry, should networks such as CNN be reporting what politico.com says or any Web site or news organization says when theres an unnamed source and you dont have any independent confirmation? Its a very tough balancing act.;We implied that it was confirmed, we aired in that sense.;JOHN HARRIS;All right.;KURTZ, HOST (voice over);Ed Henry, should networks such as CNN be reporting what politico.com says or any Web site or news organization says when theres an unnamed source and you dont have any independent confirmation?;KURTZ, HOST (voice over);Its a very tough balancing act.;ED HENRY;I think we need to be transparent with our viewers and say, look, this is out there, its being reported, its being picked up by a lot of people.;ED HENRY;Deliberative
992;Well, if you think youre innocent, you act innocent. And what grander way could there be? So go down to Costa Rica on this show -Get Me Out of Here, Im a Celebrity,- and wrestle pythons? He has legal fees to pay, Howie. Well, it is not super clear right now what happens if he gets the money.;And what grander way could there be? So go down to Costa Rica on this show -Get Me Out of Here, Im a Celebrity,- and wrestle pythons? He has legal fees to pay, Howie.;Well, if you think youre innocent, you act innocent.;LYNN SWEET;And what grander way could there be?;LYNN SWEET;So go down to Costa Rica on this show -Get Me Out of Here, Im a Celebrity,- and wrestle pythons?;HOWARD KURTZ;He has legal fees to pay, Howie.;JONATHAN MARTIN;Well, it is not super clear right now what happens if he gets the money.;LYNN SWEET;Rhetorical
